param_name,value,unit,source,context,param_type
duration_0,360.0,minutes,text:3호선 승무사 일Dia 작성시 고려사항.txt,"- 1사업의 운전시간은 6시간 이내, 사업평균 운전시간은 5시간 이내로 한다.",duration
duration_1,300.0,minutes,text:3호선 승무사 일Dia 작성시 고려사항.txt,"- 1사업의 운전시간은 6시간 이내, 사업평균 운전시간은 5시간 이내로 한다.",duration
time_of_day_2,380.0,minutes_from_midnight,text:3호선 승무사 일Dia 작성시 고려사항.txt,- 주간사업의 첫 출고는 06:20 이후 / 최종 퇴근시간은 23:00 이전,time_of_day
time_of_day_3,1380.0,minutes_from_midnight,text:3호선 승무사 일Dia 작성시 고려사항.txt,- 주간사업의 첫 출고는 06:20 이후 / 최종 퇴근시간은 23:00 이전,time_of_day
time_of_day_4,1080.0,minutes_from_midnight,text:3호선 승무사 일Dia 작성시 고려사항.txt,- 야간사업의 출고시간 가급적 18:00 이후 / 최소 17:00 이후,time_of_day
time_of_day_5,1020.0,minutes_from_midnight,text:3호선 승무사 일Dia 작성시 고려사항.txt,- 야간사업의 출고시간 가급적 18:00 이후 / 최소 17:00 이후,time_of_day
duration_6,240.0,minutes,text:3호선 승무사 일Dia 작성시 고려사항.txt,- 야간사업 취침시간 4시간 확보,duration
duration_7,320.0,minutes,text:3호선 승무사 일Dia 작성시 고려사항.txt,"(당일입고:30분, 익일출고:50분 포함 시 5시간 20분 확보 필요)",duration
duration_8,30.0,minutes,text:3호선 승무사 일Dia 작성시 고려사항.txt,"(당일입고:30분, 익일출고:50분 포함 시 5시간 20분 확보 필요)",duration
duration_9,50.0,minutes,text:3호선 승무사 일Dia 작성시 고려사항.txt,"(당일입고:30분, 익일출고:50분 포함 시 5시간 20분 확보 필요)",duration
duration_10,660.0,minutes,text:3호선 승무사 일Dia 작성시 고려사항.txt,"- 사업당 근무시간 11시간 이내, 대기시간 최대 5시간 이내",duration
duration_11,300.0,minutes,text:3호선 승무사 일Dia 작성시 고려사항.txt,"- 사업당 근무시간 11시간 이내, 대기시간 최대 5시간 이내",duration
duration_12,180.0,minutes,text:3호선 승무사 일Dia 작성시 고려사항.txt,"- 사업당 인정대기시간은 3시간, 사업 평균 실대기 시간은 3시간 이내가 되도록 노력",duration
duration_13,180.0,minutes,text:3호선 승무사 일Dia 작성시 고려사항.txt,"- 사업당 인정대기시간은 3시간, 사업 평균 실대기 시간은 3시간 이내가 되도록 노력",duration
duration_14,180.0,minutes,text:3호선 승무사 일Dia 작성시 고려사항.txt,"- 강차 후 일정 휴양시간(2~3시간) 확보 노력, 최소 1시간 이상",duration
duration_15,60.0,minutes,text:3호선 승무사 일Dia 작성시 고려사항.txt,"- 강차 후 일정 휴양시간(2~3시간) 확보 노력, 최소 1시간 이상",duration
duration_16,120.0,minutes,text:3호선 승무사 일Dia 작성시 고려사항.txt,"- 강차 후 교육을 받을 수 있는 시간(13~15시, 2시간)을 확보: 소속별 약 10개사업",duration
duration_17,720.0,minutes,text:3호선 승무사 일Dia 작성시 고려사항.txt,- 회사 내 체류시간은 가급적 12시간 이내로 작성,duration
duration_18,300.0,minutes,text:3호선 승무사 일Dia 작성시 고려사항.txt,- 사업 평균 운전시간이 5시간이 넘지 않게 최대한 작성(현 5:00:54),duration
time_of_day_19,300.0,minutes_from_midnight,text:3호선 승무사 일Dia 작성시 고려사항.txt,- 사업 평균 운전시간이 5시간이 넘지 않게 최대한 작성(현 5:00:54),time_of_day
준비시간_승계_또는_편승_출무시,40.0,minutes,데이터셋.xlsx:기관사 근로시간 구성,,
준비시간_출고_출무시,60.0,minutes,데이터셋.xlsx:기관사 근로시간 구성,,
준비시간_출고_사업중,50.0,minutes,데이터셋.xlsx:기관사 근로시간 구성,,
정리시간_승계_또는_편승_종무시,30.0,minutes,데이터셋.xlsx:기관사 근로시간 구성,,
정리시간_입고_종무시,40.0,minutes,데이터셋.xlsx:기관사 근로시간 구성,,
정리시간_입고_사업중,30.0,minutes,데이터셋.xlsx:기관사 근로시간 구성,,
인정_대기시간_고정값,180.0,minutes,데이터셋.xlsx:기관사 근로시간 구성,,
노선_대저,3.0,extracted_numeric,데이터셋.xlsx:야간사업 현황,,
주박위치_대저_대저,9.0,extracted_numeric,데이터셋.xlsx:야간사업 현황,,
주박위치_수영_대저,4.0,extracted_numeric,데이터셋.xlsx:야간사업 현황,,
stat_earliest_Unnamed:_1,316.0,minutes_from_midnight,DIA_tables_from_indices1.xlsx,earliest time in Unnamed: 1,
stat_latest_Unnamed:_1,1439.0,minutes_from_midnight,DIA_tables_from_indices1.xlsx,latest time in Unnamed: 1,
stat_mean_Unnamed:_1,868.1,minutes_from_midnight,DIA_tables_from_indices1.xlsx,mean time in Unnamed: 1,
stat_earliest_Unnamed:_3,1.0,minutes_from_midnight,DIA_tables_from_indices1.xlsx,earliest time in Unnamed: 3,
stat_latest_Unnamed:_3,1429.0,minutes_from_midnight,DIA_tables_from_indices1.xlsx,latest time in Unnamed: 3,
stat_mean_Unnamed:_3,875.2,minutes_from_midnight,DIA_tables_from_indices1.xlsx,mean time in Unnamed: 3,
meta_total_records,501.0,count,DIA_tables_from_indices1.xlsx,total rows in table,
전체,96.0,numeric,데이터셋.xlsx:호선별 근무인원,,
주간사업,32.0,numeric,데이터셋.xlsx:호선별 근무인원,,
야간사업,13.0,numeric,데이터셋.xlsx:호선별 근무인원,,
비번,13.0,numeric,데이터셋.xlsx:호선별 근무인원,,
S_예비,7.0,numeric,데이터셋.xlsx:호선별 근무인원,,
D_대기,2.0,numeric,데이터셋.xlsx:호선별 근무인원,,
휴,29.0,numeric,데이터셋.xlsx:호선별 근무인원,,
운행횟수,320.0,extracted_numeric,데이터셋.xlsx:호선별 근무인원,,
총_운전시간,225.0,extracted_numeric,데이터셋.xlsx:호선별 근무인원,,
총_사업수,45.0,numeric,데이터셋.xlsx:호선별 근무인원,,
월_근로시간,157.0,extracted_numeric,데이터셋.xlsx:호선별 근무인원,,
월_당무,16.8,numeric,데이터셋.xlsx:호선별 근무인원,,
연간휴일_수,113.5,numeric,데이터셋.xlsx:호선별 근무인원,,
max_work_minutes,660.0,minutes,default,,
night_rest_minutes,360.0,minutes,default,,
cleanup_time_minutes,40.0,minutes,default,,
max_driving_minutes,360.0,minutes,default,,
min_break_minutes,40.0,minutes,default,,
prep_time_minutes,40.0,minutes,default,,
